Metric,age_or_height,sex,Match ID,m,s,l,2.5th,5th,25th,50th,75th,95th,97.5th
whz,63.3,Female,63.3_2,6.38019584,0.104592565,-0.061285597,5.204263438,5.376620196,5.946508529,6.38019584,6.847600854,7.584840855,7.842009189
whz,63.4,Female,63.4_2,6.399811767,0.104511294,-0.061546904,5.221113385,5.393884642,5.965120504,6.399811767,6.868280165,7.607162442,7.864894501
whz,63.5,Female,63.5_2,6.419487816,0.104428778,-0.061808211,5.238030276,5.411215273,5.983795551,6.419487816,6.889015902,7.629533621,7.887826752
whz,63.6,Female,63.6_2,6.439225109,0.104345041,-0.062069517,5.255014927,5.428612947,6.002534674,6.439225109,6.909809318,7.651955864,7.910807491
whz,63.7,Female,63.7_2,6.459024766,0.104260109,-0.062330823,5.272068132,5.446078504,6.021338868,6.459024766,6.930661675,7.674430665,7.933838298
whz,63.8,Female,63.8_2,6.47888791,0.104174006,-0.062592129,5.289190706,5.463612802,6.040209138,6.47888791,6.951574228,7.6969595,7.95692073
whz,63.9,Female,63.9_2,6.498815662,0.104086756,-0.062853434,5.30638346,5.481216693,6.059146487,6.498815662,6.972548231,7.719543845,7.980056341
whz,64,Female,64_2,6.518809144,0.103998385,-0.063114739,5.323647183,5.498891015,6.078151908,6.518809144,6.993584951,7.742185205,8.003246723
whz,64.1,Female,64.1_2,6.538869477,0.103908917,-0.063376044,5.340982684,5.516636617,6.097226403,6.538869477,7.014685643,7.764885059,8.026493438
whz,64.2,Female,64.2_2,6.558997784,0.103818376,-0.063637349,5.35839077,5.534454352,6.116370973,6.558997784,7.035851566,7.787644893,8.049798051
whz,64.3,Female,64.3_2,6.579195185,0.103726788,-0.063898653,5.375872224,5.552345048,6.135586609,6.579195185,7.057083987,7.810466215,8.073162161
whz,64.4,Female,64.4_2,6.599462802,0.103634176,-0.064159958,5.39342786,5.570309563,6.154874315,6.599462802,7.07838416,7.833350501,8.096587323
whz,64.5,Female,64.5_2,6.619801758,0.103540565,-0.064421262,5.411058469,5.588348733,6.174235087,6.619801758,7.099753352,7.856299256,8.120075126
whz,64.6,Female,64.6_2,6.64021317,0.10344598,-0.064682565,5.428764837,5.606463391,6.193669914,6.64021317,7.121192823,7.879313978,8.143627158
whz,64.7,Female,64.7_2,6.660697657,0.103350452,-0.064943868,5.446547276,5.624653888,6.213179295,6.660697657,7.14270333,7.902395658,8.167244495
whz,64.8,Female,64.8_2,6.681254781,0.103254025,-0.065205172,5.464405095,5.642919566,6.232762688,6.681254781,7.16428456,7.925544208,8.190927133
whz,64.9,Female,64.9_2,6.701883974,0.103156746,-0.065466474,5.482337459,5.661259621,6.252419415,6.701883974,7.185936078,7.94875943,8.214674965
whz,65,Female,65_2,6.722584666,0.103058663,-0.065727777,5.500343511,5.679673234,6.272148788,6.722584666,7.207657456,7.972041146,8.238487908
whz,65.1,Female,65.1_2,6.743356286,0.102959821,-0.065989079,5.518422425,5.698159607,6.29195013,6.743356286,7.22944825,7.995389143,8.262365838
whz,65.2,Female,65.2_2,6.764198267,0.102860266,-0.066250381,5.536573356,5.716717931,6.31182276,6.764198267,7.251308031,8.018803234,8.286308659
whz,65.3,Female,65.3_2,6.785110037,0.102760046,-0.066511683,5.554795431,5.73534737,6.331765983,6.785110037,7.273236375,8.042283259,8.310316311
whz,65.4,Female,65.4_2,6.806091028,0.102659205,-0.066772984,5.573087815,5.754047121,6.351779121,6.806091028,7.295232846,8.065829018,8.334388685
whz,65.5,Female,65.5_2,6.82714067,0.102557789,-0.067034286,5.591449645,5.772816358,6.371861483,6.82714067,7.317297018,8.089440342,8.358525706
whz,65.6,Female,65.6_2,6.848258392,0.102455845,-0.067295587,5.609880038,5.791654237,6.392012371,6.848258392,7.339428473,8.113117081,8.382727328
whz,65.7,Female,65.7_2,6.869443627,0.102353417,-0.067556887,5.628378142,5.810559942,6.412231102,6.869443627,7.361626783,8.136859056,8.406993468
whz,65.8,Female,65.8_2,6.890695803,0.102250551,-0.067818188,5.646943073,5.829532625,6.432516975,6.890695803,7.38389153,8.160666119,8.431324077
whz,65.9,Female,65.9_2,6.912014352,0.102147293,-0.068079488,5.665573942,5.84857144,6.452869292,6.912014352,7.4062223,8.184538132,8.455719122
whz,66,Female,66_2,6.933398704,0.102043686,-0.068340789,5.684269886,5.86767556,6.473287364,6.933398704,7.428618668,8.208474922,8.480178527
